ym,category,role,cases_pending
2017-09,ALL,Defendant,93598
2017-10,ALL,Defendant,93936
2017-11,ALL,Defendant,93838
2017-12,ALL,Defendant,93265
2018-01,ALL,Defendant,93677
2018-02,ALL,Defendant,93209
2018-03,ALL,Defendant,91205
2018-04,ALL,Defendant,91488
2018-05,ALL,Defendant,91808
2018-06,ALL,Defendant,92135
2018-07,ALL,Defendant,91733
2018-08,ALL,Defendant,91377
2018-09,ALL,Defendant,89591
2018-10,ALL,Defendant,89619
2018-11,ALL,Defendant,89927
2018-12,ALL,Defendant,90721
2019-01,ALL,Defendant,92921
2019-02,ALL,Defendant,92695
2019-03,ALL,Defendant,76404
2019-04,ALL,Defendant,76698
2019-05,ALL,Defendant,76808
2019-06,ALL,Defendant,72975
2019-07,ALL,Defendant,72685
2019-08,ALL,Defendant,72349
2019-09,ALL,Defendant,70925
2019-10,ALL,Defendant,71093
2019-11,ALL,Defendant,72018
2019-12,ALL,Defendant,72308
2020-01,ALL,Defendant,71759
2020-02,ALL,Defendant,71297
2020-03,ALL,Defendant,69923
2020-04,ALL,Defendant,71682
2020-05,ALL,Defendant,73888
2020-06,ALL,Defendant,76290
2020-07,ALL,Defendant,77913
2020-08,ALL,Defendant,78790
2020-09,ALL,Defendant,79557
2020-10,ALL,Defendant,79846
2020-11,ALL,Defendant,80566
2020-12,ALL,Defendant,81575
2021-01,ALL,Defendant,81943
2021-02,ALL,Defendant,81647
2021-03,ALL,Defendant,80446
2021-04,ALL,Defendant,79912
2021-05,ALL,Defendant,79198
2021-06,ALL,Defendant,78602
2021-07,ALL,Defendant,77420
2021-08,ALL,Defendant,75374
2021-09,ALL,Defendant,72508
2021-10,ALL,Defendant,71243
2021-11,ALL,Defendant,70432
2021-12,ALL,Defendant,69372
2022-01,ALL,Defendant,68601
2022-02,ALL,Defendant,67884
2022-03,ALL,Defendant,66391
2022-04,ALL,Defendant,66135
2022-05,ALL,Defendant,65741
2022-06,ALL,Defendant,65553
2022-07,ALL,Defendant,65536
2022-08,ALL,Defendant,65175
2022-09,ALL,Defendant,63633
2022-10,ALL,Defendant,64383
2022-11,ALL,Defendant,64634
2022-12,ALL,Defendant,65520
2023-01,ALL,Defendant,65561
2023-02,ALL,Defendant,66133
2023-03,ALL,Defendant,65892
2023-04,ALL,Defendant,66229
2023-05,ALL,Defendant,66807
2023-06,ALL,Defendant,67262
2023-07,ALL,Defendant,67078
2023-08,ALL,Defendant,67028
2023-09,ALL,Defendant,65571
2023-10,ALL,Defendant,66265
2023-11,ALL,Defendant,69944
2023-12,ALL,Defendant,72060
2024-01,ALL,Defendant,73382
2024-02,ALL,Defendant,74124
2024-03,ALL,Defendant,73359
2024-04,ALL,Defendant,73840
2024-05,ALL,Defendant,74018
2024-06,ALL,Defendant,74090
2024-07,ALL,Defendant,74804
2024-08,ALL,Defendant,75401
2024-09,ALL,Defendant,75350
2024-10,ALL,Defendant,76487
2024-11,ALL,Defendant,77737
2024-12,ALL,Defendant,79089
2025-01,ALL,Defendant,80501
2025-02,ALL,Defendant,81232
2025-03,ALL,Defendant,80072
2025-04,ALL,Defendant,80719
2025-05,ALL,Defendant,81974
2025-06,ALL,Defendant,83542
2025-07,ALL,Defendant,85022
2025-08,ALL,Defendant,86610
2025-09,ALL,Defendant,88650
2025-10,ALL,Defendant,92913
2025-11,ALL,Defendant,97093
2025-12,ALL,Defendant,102158
2026-01,ALL,Defendant,108914
2026-02,ALL,Defendant,116173
2026-03,ALL,Defendant,122584
2026-04,ALL,Defendant,130534
2026-05,ALL,Defendant,137395
2026-06,ALL,Defendant,144354
2026-07,ALL,Defendant,148696
1994-10,Admiralty,Defendant,199
1994-11,Admiralty,Defendant,206
1994-12,Admiralty,Defendant,213
1995-01,Admiralty,Defendant,218
1995-02,Admiralty,Defendant,213
1995-03,Admiralty,Defendant,210
1995-04,Admiralty,Defendant,201
1995-05,Admiralty,Defendant,207
1995-06,Admiralty,Defendant,204
1995-07,Admiralty,Defendant,193
1995-08,Admiralty,Defendant,183
1995-09,Admiralty,Defendant,180
1995-10,Admiralty,Defendant,177
1995-11,Admiralty,Defendant,173
1995-12,Admiralty,Defendant,172
1996-01,Admiralty,Defendant,166
1996-02,Admiralty,Defendant,163
1996-03,Admiralty,Defendant,170
1996-04,Admiralty,Defendant,170
1996-05,Admiralty,Defendant,163
1996-06,Admiralty,Defendant,157
1996-07,Admiralty,Defendant,154
1996-08,Admiralty,Defendant,157
1996-09,Admiralty,Defendant,145
1996-10,Admiralty,Defendant,142
1996-11,Admiralty,Defendant,141
1996-12,Admiralty,Defendant,144
1997-01,Admiralty,Defendant,142
1997-02,Admiralty,Defendant,131
1997-03,Admiralty,Defendant,131
1997-04,Admiralty,Defendant,129
1997-05,Admiralty,Defendant,126
1997-06,Admiralty,Defendant,118
1997-07,Admiralty,Defendant,104
1997-08,Admiralty,Defendant,102
1997-09,Admiralty,Defendant,102
1997-10,Admiralty,Defendant,101
1997-11,Admiralty,Defendant,98
1997-12,Admiralty,Defendant,98
1998-01,Admiralty,Defendant,102
1998-02,Admiralty,Defendant,103
1998-03,Admiralty,Defendant,109
1998-04,Admiralty,Defendant,110
1998-05,Admiralty,Defendant,110
1998-06,Admiralty,Defendant,103
1998-07,Admiralty,Defendant,106
1998-08,Admiralty,Defendant,107
1998-09,Admiralty,Defendant,103
1998-10,Admiralty,Defendant,106
1998-11,Admiralty,Defendant,105
1998-12,Admiralty,Defendant,95
1999-01,Admiralty,Defendant,102
1999-02,Admiralty,Defendant,98
1999-03,Admiralty,Defendant,93
1999-04,Admiralty,Defendant,96
1999-05,Admiralty,Defendant,98
1999-06,Admiralty,Defendant,102
1999-07,Admiralty,Defendant,108
1999-08,Admiralty,Defendant,111
1999-09,Admiralty,Defendant,107
1999-10,Admiralty,Defendant,108
1999-11,Admiralty,Defendant,113
1999-12,Admiralty,Defendant,120
2000-01,Admiralty,Defendant,118
2000-02,Admiralty,Defendant,119
2000-03,Admiralty,Defendant,118
2000-04,Admiralty,Defendant,111
2000-05,Admiralty,Defendant,112
2000-06,Admiralty,Defendant,119
2000-07,Admiralty,Defendant,123
2000-08,Admiralty,Defendant,130
2000-09,Admiralty,Defendant,121
2000-10,Admiralty,Defendant,110
2000-11,Admiralty,Defendant,100
2000-12,Admiralty,Defendant,94
2001-01,Admiralty,Defendant,94
2001-02,Admiralty,Defendant,99
2001-03,Admiralty,Defendant,99
2001-04,Admiralty,Defendant,100
2001-05,Admiralty,Defendant,97
2001-06,Admiralty,Defendant,97
2001-07,Admiralty,Defendant,101
2001-08,Admiralty,Defendant,100
2001-09,Admiralty,Defendant,95
2001-10,Admiralty,Defendant,92
2001-11,Admiralty,Defendant,95
2001-12,Admiralty,Defendant,95
2002-01,Admiralty,Defendant,93
2002-02,Admiralty,Defendant,91
2002-03,Admiralty,Defendant,90
2002-04,Admiralty,Defendant,93
2002-05,Admiralty,Defendant,88
2002-06,Admiralty,Defendant,87
2002-07,Admiralty,Defendant,79
2002-08,Admiralty,Defendant,78
2002-09,Admiralty,Defendant,73
2002-10,Admiralty,Defendant,72
2002-11,Admiralty,Defendant,72
2002-12,Admiralty,Defendant,73
2003-01,Admiralty,Defendant,72
2003-02,Admiralty,Defendant,69
2003-03,Admiralty,Defendant,69
2003-04,Admiralty,Defendant,72
2003-05,Admiralty,Defendant,72
2003-06,Admiralty,Defendant,71
2003-07,Admiralty,Defendant,71
2003-08,Admiralty,Defendant,75
2003-09,Admiralty,Defendant,72
2003-10,Admiralty,Defendant,77
2003-11,Admiralty,Defendant,72
2003-12,Admiralty,Defendant,69
2004-01,Admiralty,Defendant,80
2004-02,Admiralty,Defendant,79
2004-03,Admiralty,Defendant,80
2004-04,Admiralty,Defendant,80
2004-05,Admiralty,Defendant,75
2004-06,Admiralty,Defendant,74
2004-07,Admiralty,Defendant,74
2004-08,Admiralty,Defendant,73
2004-09,Admiralty,Defendant,72
2004-10,Admiralty,Defendant,73
2004-11,Admiralty,Defendant,73
2004-12,Admiralty,Defendant,73
2005-01,Admiralty,Defendant,68
2005-02,Admiralty,Defendant,67
2005-03,Admiralty,Defendant,66
2005-04,Admiralty,Defendant,65
2005-05,Admiralty,Defendant,70
2005-06,Admiralty,Defendant,71
2005-07,Admiralty,Defendant,72
2005-08,Admiralty,Defendant,72
2005-09,Admiralty,Defendant,76
2005-10,Admiralty,Defendant,81
2005-11,Admiralty,Defendant,79
2005-12,Admiralty,Defendant,81
2006-01,Admiralty,Defendant,79
2006-02,Admiralty,Defendant,77
2006-03,Admiralty,Defendant,76
2006-04,Admiralty,Defendant,73
2006-05,Admiralty,Defendant,76
2006-06,Admiralty,Defendant,73
2006-07,Admiralty,Defendant,71
2006-08,Admiralty,Defendant,75
2006-09,Admiralty,Defendant,73
2006-10,Admiralty,Defendant,74
2006-11,Admiralty,Defendant,72
2006-12,Admiralty,Defendant,70
2007-01,Admiralty,Defendant,66
2007-02,Admiralty,Defendant,67
2007-03,Admiralty,Defendant,72
2007-04,Admiralty,Defendant,70
2007-05,Admiralty,Defendant,70
2007-06,Admiralty,Defendant,71
2007-07,Admiralty,Defendant,73
2007-08,Admiralty,Defendant,72
2007-09,Admiralty,Defendant,72
2007-10,Admiralty,Defendant,69
2007-11,Admiralty,Defendant,68
2007-12,Admiralty,Defendant,65
2008-01,Admiralty,Defendant,63
2008-02,Admiralty,Defendant,61
2008-03,Admiralty,Defendant,62
2008-04,Admiralty,Defendant,58
2008-05,Admiralty,Defendant,55
2008-06,Admiralty,Defendant,50
2008-07,Admiralty,Defendant,47
2008-08,Admiralty,Defendant,49
2008-09,Admiralty,Defendant,47
2008-10,Admiralty,Defendant,45
2008-11,Admiralty,Defendant,42
2008-12,Admiralty,Defendant,41
2009-01,Admiralty,Defendant,39
2009-02,Admiralty,Defendant,35
2009-03,Admiralty,Defendant,36
2009-04,Admiralty,Defendant,36
2009-05,Admiralty,Defendant,36
2009-06,Admiralty,Defendant,34
2009-07,Admiralty,Defendant,33
2009-08,Admiralty,Defendant,34
2009-09,Admiralty,Defendant,32
2009-10,Admiralty,Defendant,33
2009-11,Admiralty,Defendant,34
2009-12,Admiralty,Defendant,34
2010-01,Admiralty,Defendant,34
2010-02,Admiralty,Defendant,36
2010-03,Admiralty,Defendant,35
2010-04,Admiralty,Defendant,36
2010-05,Admiralty,Defendant,37
2010-06,Admiralty,Defendant,38
2010-07,Admiralty,Defendant,38
2010-08,Admiralty,Defendant,35
2010-09,Admiralty,Defendant,34
2010-10,Admiralty,Defendant,31
2010-11,Admiralty,Defendant,34
2010-12,Admiralty,Defendant,37
2011-01,Admiralty,Defendant,37
2011-02,Admiralty,Defendant,35
2011-03,Admiralty,Defendant,34
2011-04,Admiralty,Defendant,36
2011-05,Admiralty,Defendant,39
2011-06,Admiralty,Defendant,39
2011-07,Admiralty,Defendant,38
2011-08,Admiralty,Defendant,37
2011-09,Admiralty,Defendant,41
2011-10,Admiralty,Defendant,43
2011-11,Admiralty,Defendant,42
2011-12,Admiralty,Defendant,40
2012-01,Admiralty,Defendant,41
2012-02,Admiralty,Defendant,41
2012-03,Admiralty,Defendant,41
2012-04,Admiralty,Defendant,40
2012-05,Admiralty,Defendant,38
2012-06,Admiralty,Defendant,34
2012-07,Admiralty,Defendant,36
2012-08,Admiralty,Defendant,34
2012-09,Admiralty,Defendant,35
2012-10,Admiralty,Defendant,36
2012-11,Admiralty,Defendant,36
2012-12,Admiralty,Defendant,40
2013-01,Admiralty,Defendant,39
2013-02,Admiralty,Defendant,38
2013-03,Admiralty,Defendant,39
