ym,category,reason,declined
2021-08,ALL,Alternative to Federal Prosecution,149
2021-09,ALL,Alternative to Federal Prosecution,259
2021-10,ALL,Alternative to Federal Prosecution,90
2021-11,ALL,Alternative to Federal Prosecution,65
2021-12,ALL,Alternative to Federal Prosecution,81
2022-01,ALL,Alternative to Federal Prosecution,82
2022-02,ALL,Alternative to Federal Prosecution,102
2022-03,ALL,Alternative to Federal Prosecution,193
2022-04,ALL,Alternative to Federal Prosecution,74
2022-05,ALL,Alternative to Federal Prosecution,105
2022-06,ALL,Alternative to Federal Prosecution,90
2022-07,ALL,Alternative to Federal Prosecution,78
2022-08,ALL,Alternative to Federal Prosecution,136
2022-09,ALL,Alternative to Federal Prosecution,201
2022-10,ALL,Alternative to Federal Prosecution,117
2022-11,ALL,Alternative to Federal Prosecution,81
2022-12,ALL,Alternative to Federal Prosecution,108
2023-01,ALL,Alternative to Federal Prosecution,116
2023-02,ALL,Alternative to Federal Prosecution,127
2023-03,ALL,Alternative to Federal Prosecution,217
2023-04,ALL,Alternative to Federal Prosecution,72
2023-05,ALL,Alternative to Federal Prosecution,89
2023-06,ALL,Alternative to Federal Prosecution,77
2023-07,ALL,Alternative to Federal Prosecution,85
2023-08,ALL,Alternative to Federal Prosecution,136
2023-09,ALL,Alternative to Federal Prosecution,228
2023-10,ALL,Alternative to Federal Prosecution,91
2023-11,ALL,Alternative to Federal Prosecution,76
2023-12,ALL,Alternative to Federal Prosecution,70
2024-01,ALL,Alternative to Federal Prosecution,87
2024-02,ALL,Alternative to Federal Prosecution,126
2024-03,ALL,Alternative to Federal Prosecution,228
2024-04,ALL,Alternative to Federal Prosecution,119
2024-05,ALL,Alternative to Federal Prosecution,96
2024-06,ALL,Alternative to Federal Prosecution,92
2024-07,ALL,Alternative to Federal Prosecution,87
2024-08,ALL,Alternative to Federal Prosecution,155
2024-09,ALL,Alternative to Federal Prosecution,240
2024-10,ALL,Alternative to Federal Prosecution,153
2024-11,ALL,Alternative to Federal Prosecution,87
2024-12,ALL,Alternative to Federal Prosecution,63
2025-01,ALL,Alternative to Federal Prosecution,104
2025-02,ALL,Alternative to Federal Prosecution,359
2025-03,ALL,Alternative to Federal Prosecution,278
2025-04,ALL,Alternative to Federal Prosecution,132
2025-05,ALL,Alternative to Federal Prosecution,84
2025-06,ALL,Alternative to Federal Prosecution,133
2025-07,ALL,Alternative to Federal Prosecution,128
2025-08,ALL,Alternative to Federal Prosecution,146
2025-09,ALL,Alternative to Federal Prosecution,224
2025-10,ALL,Alternative to Federal Prosecution,80
2025-11,ALL,Alternative to Federal Prosecution,69
2025-12,ALL,Alternative to Federal Prosecution,78
2026-01,ALL,Alternative to Federal Prosecution,100
2026-02,ALL,Alternative to Federal Prosecution,141
2026-03,ALL,Alternative to Federal Prosecution,233
2026-04,ALL,Alternative to Federal Prosecution,103
2026-05,ALL,Alternative to Federal Prosecution,97
2026-06,ALL,Alternative to Federal Prosecution,83
2026-07,ALL,Alternative to Federal Prosecution,101
1994-10,ALL,Defendant Unavailable,269
1994-11,ALL,Defendant Unavailable,268
1994-12,ALL,Defendant Unavailable,251
1995-01,ALL,Defendant Unavailable,302
1995-02,ALL,Defendant Unavailable,309
1995-03,ALL,Defendant Unavailable,391
1995-04,ALL,Defendant Unavailable,307
1995-05,ALL,Defendant Unavailable,299
